ID,Cluster1,Cluster2,admix_assignment
COPE_0868.fp2.repr,1e-5,0.99999,Cluster2
COPE_0869.fp2.repr,0.99999,1e-5,Cluster1
COPE_0870.fp2.repr,0.003609,0.996391,Cluster2
COPE_0871.fp2.repr,1e-5,0.99999,Cluster2
COPE_0872.fp2.repr,1e-5,0.99999,Cluster2
COPE_0873.fp2.repr,1e-5,0.99999,Cluster2
COPE_0874.fp2.repr,0.045317,0.954683,Cluster2
COPE_0875.fp2.repr,0.017112,0.982888,Cluster2
COPE_0876.fp2.repr,1e-5,0.99999,Cluster2
COPE_0877.fp2.repr,1e-5,0.99999,Cluster2
COPE_0878.fp2.repr,1e-5,0.99999,Cluster2
COPE_0879.fp2.repr,1e-5,0.99999,Cluster2
COPE_0880.fp2.repr,0.043309,0.956691,Cluster2
COPE_0882.fp2.repr,1e-5,0.99999,Cluster2
COPE_0883.fp2.repr,1e-5,0.99999,Cluster2
COPE_0884.fp2.repr,1e-5,0.99999,Cluster2
COPE_0885.fp2.repr,1e-5,0.99999,Cluster2
COPE_0886.fp2.repr,1e-5,0.99999,Cluster2
COPE_0887.fp2.repr,1e-5,0.99999,Cluster2
COPE_0888.fp2.repr,1e-5,0.99999,Cluster2
COPE_0889.fp2.repr,0.004484,0.995516,Cluster2
COPE_0890.fp2.repr,1e-5,0.99999,Cluster2
COPE_0891.fp2.repr,1e-5,0.99999,Cluster2
COPE_0892.fp2.repr,1e-5,0.99999,Cluster2
COPE_0893.fp2.repr,1e-5,0.99999,Cluster2
COPE_0894.fp2.repr,0.99999,1e-5,Cluster1
COPE_0895.fp2.repr,1e-5,0.99999,Cluster2
COPE_0896.fp2.repr,1e-5,0.99999,Cluster2
COPE_0897.fp2.repr,1e-5,0.99999,Cluster2
COPE_0898.fp2.repr,0.001815,0.998185,Cluster2
COPE_0899.fp2.repr,7.79e-4,0.999221,Cluster2
COPE_0900.fp2.repr,1e-5,0.99999,Cluster2
COPE_0901.fp2.repr,1e-5,0.99999,Cluster2
COPE_0902.fp2.repr,1e-5,0.99999,Cluster2
COPE_0903.fp2.repr,1e-5,0.99999,Cluster2
COPE_0904.fp2.repr,1e-5,0.99999,Cluster2
COPE_0905.fp2.repr,1e-5,0.99999,Cluster2
COPE_0906.fp2.repr,1e-5,0.99999,Cluster2
COPE_0907.fp2.repr,0.013593,0.986407,Cluster2
COPE_0908.fp2.repr,1e-5,0.99999,Cluster2
COPE_0909.fp2.repr,1e-5,0.99999,Cluster2
COPE_0910.fp2.repr,1e-5,0.99999,Cluster2
COPE_0911.fp2.repr,1e-5,0.99999,Cluster2
COPE_0912.fp2.repr,1e-5,0.99999,Cluster2
COPE_0913.fp2.repr,1e-5,0.99999,Cluster2
COPE_0914.fp2.repr,1e-5,0.99999,Cluster2
COPE_0915.fp2.repr,1e-5,0.99999,Cluster2
COPE_0916.fp2.repr,1e-5,0.99999,Cluster2
COPE_0917.fp2.repr,1e-5,0.99999,Cluster2
COPE_0918.fp2.repr,1e-5,0.99999,Cluster2
COPE_0919.fp2.repr,0.99999,1e-5,Cluster1
COPE_0920.fp2.repr,1e-5,0.99999,Cluster2
COPE_0921.fp2.repr,1e-5,0.99999,Cluster2
COPE_0922.fp2.repr,1e-5,0.99999,Cluster2
COPE_0923.fp2.repr,0.009446,0.990554,Cluster2
COPE_0924.fp2.repr,1e-5,0.99999,Cluster2
COPE_0925.fp2.repr,1e-5,0.99999,Cluster2
COPE_0926.fp2.repr,0.0045,0.9955,Cluster2
COPE_0927.fp2.repr,0.013334,0.986666,Cluster2
COPE_0928.fp2.repr,0.018575,0.981425,Cluster2
COPE_0929.fp2.repr,1e-5,0.99999,Cluster2
COPE_0930.fp2.repr,0.016894,0.983106,Cluster2
COPE_0931.fp2.repr,1e-5,0.99999,Cluster2
COPE_0932.fp2.repr,1e-5,0.99999,Cluster2
COPE_0933.fp2.repr,1e-5,0.99999,Cluster2
COPE_0934.fp2.repr,1e-5,0.99999,Cluster2
COPE_0935.fp2.repr,0.059192,0.940808,Cluster2
COPE_0936.fp2.repr,0.00904,0.99096,Cluster2
COPE_0937.fp2.repr,1e-5,0.99999,Cluster2
COPE_0938.fp2.repr,1e-5,0.99999,Cluster2
COPE_0939.fp2.repr,1e-5,0.99999,Cluster2
COPE_0940.fp2.repr,1e-5,0.99999,Cluster2
COPE_0941.fp2.repr,1e-5,0.99999,Cluster2
COPE_0942.fp2.repr,1e-5,0.99999,Cluster2
COPE_0943.fp2.repr,0.99999,1e-5,Cluster1
COPE_0944.fp2.repr,1e-5,0.99999,Cluster2
COPE_0945.fp2.repr,1e-5,0.99999,Cluster2
