Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0717.fp2.repr,NA,0,0.9999750000000001,0,0,0,2.5e-5
COPE_0718.fp2.repr,z0,0.999992,0,0,0,8.000000000000001e-6,0
COPE_0719.fp2.repr,z0,0.999993,0,0,0,7e-6,0
COPE_0720.fp2.repr,z0,0.999982,0,0,0,1.8e-5,0
COPE_0721.fp2.repr,z0,0.999031,0,0,9e-6,9.6e-4,0
COPE_0722.fp2.repr,z1,0,1,0,0,0,0
COPE_0723.fp2.repr,z0,0.999966,0,0,0,3.4e-5,0
COPE_0724.fp2.repr,NA,0.999919,0,0,0,8.1e-5,0
COPE_0725.fp2.repr,NA,0,0.9999480000000001,0,1.0000000000000002e-6,0,5.1e-5
COPE_0726.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0727.fp2.repr,NA,0,0.999913,0,0,0,8.7e-5
COPE_0728.fp2.repr,NA,0,0.999955,0,0,0,4.5e-5
COPE_0729.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0730.fp2.repr,z1,0,1,0,0,0,0
COPE_0731.fp2.repr,z1,0,1,0,0,0,0
COPE_0732.fp2.repr,z1,0,1,0,0,0,0
COPE_0734.fp2.repr,z1,0,1,0,0,0,0
COPE_0735.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0736.fp2.repr,NA,0,0.999711,0,0,0,2.8900000000000003e-4
COPE_0737.fp2.repr,z1,0,1,0,0,0,0
COPE_0738.fp2.repr,z1,0,1,0,0,0,0
COPE_0739.fp2.repr,z1,0,1,0,0,0,0
COPE_0740.fp2.repr,NA,0,0.9932839932839932,0,1.2200012200012198e-4,0,0.006594006594006593
COPE_0741.fp2.repr,NA,0,0.999985,0,0,0,1.4999999999999999e-5
COPE_0742.fp2.repr,NA,0,0.999823,0,0,0,1.77e-4
COPE_0743.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0744.fp2.repr,z1,0,1,0,0,0,0
COPE_0745.fp2.repr,NA,0.01091303273909822,0.6113138339415018,4.8400145200435605e-4,0.34691104073312223,0.0017700053100159303,0.028608085824257477
COPE_0746.fp2.repr,z1,0,1,0,0,0,0
COPE_0747.fp2.repr,NA,0,0.999986,0,0,0,1.3999999999999998e-5
COPE_0748.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0749.fp2.repr,z1,0,0.999985,0,0,0,1.5000000000000002e-5
COPE_0750.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0751.fp2.repr,NA,0,1,0,0,0,0
COPE_0752.fp2.repr,z1,0,1,0,0,0,0
COPE_0753.fp2.repr,z1,0,0.999996,0,0,0,4e-6
COPE_0754.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0755.fp2.repr,NA,0,0.99999,0,0,0,1e-5
COPE_0756.fp2.repr,z1,0,0.999965,0,0,0,3.5000000000000004e-5
COPE_0757.fp2.repr,z1,0,0.999996,0,0,0,4e-6
COPE_0758.fp2.repr,z1,0,1,0,0,0,0
COPE_0759.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0760.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0761.fp2.repr,z1,0,0.999992,0,0,0,8.000000000000001e-6
COPE_0762.fp2.repr,z1,0,1,0,0,0,0
COPE_0763.fp2.repr,z0,0.999996,0,0,0,4e-6,0
COPE_0764.fp2.repr,z1,0,0.999547,1.0000000000000002e-6,1.12e-4,0,3.4e-4
COPE_0765.fp2.repr,z1,0,0.999996,0,0,0,4e-6
COPE_0766.fp2.repr,z1,0,1,0,0,0,0
COPE_0767.fp2.repr,z1,0,1,0,0,0,0
COPE_0768.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0769.fp2.repr,NA,0,0.999956,0,0,0,4.4e-5
COPE_0770.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0771.fp2.repr,z1,0,1,0,0,0,0
COPE_0772.fp2.repr,NA,0,0.999684,0,0,0,3.16e-4
COPE_0773.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0774.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0775.fp2.repr,z1,0,0.999994,0,0,0,6e-6
COPE_0776.fp2.repr,z0,0.999992,0,0,0,8.000000000000001e-6,0
COPE_0777.fp2.repr,z0,0.18450789671931148,0.7920852805685371,0.0052033680224534825,0.005316702111347408,0.005430036200241335,0.007456716378109188
COPE_0778.fp2.repr,NA,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0779.fp2.repr,z1,0,0.9988919977839956,2.0000040000080002e-6,8.4000168000336e-5,0,0.001022002044004088
COPE_0780.fp2.repr,z0,0.999993,0,0,0,7.000000000000001e-6,0
COPE_0781.fp2.repr,NA,0,0.999823,0,0,0,1.77e-4
COPE_0782.fp2.repr,z1,0,0.999991,0,0,0,9e-6
COPE_0783.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0784.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0785.fp2.repr,NA,0,0.999995,0,0,0,5e-6
COPE_0786.fp2.repr,z1,0,1,0,0,0,0
COPE_0787.fp2.repr,z1,0,0.99999,0,0,0,1e-5
COPE_0788.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0789.fp2.repr,z1,0,1,0,0,0,0
COPE_0790.fp2.repr,z1,0,1,0,0,0,0
COPE_0791.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0792.fp2.repr,z1,4.000000000000001e-6,0.998072,6e-6,5.29e-4,1.0000000000000002e-6,0.001388
COPE_0793.fp2.repr,z1,0,1,0,0,0,0
COPE_0794.fp2.repr,z1,0,1,0,0,0,0
COPE_0795.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0796.fp2.repr,NA,0,0.7353362646637354,0,3.90999609000391e-4,0,0.2642727357272643
