Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0499.fp2.repr,z0,0.999992,0,0,0,8.000000000000001e-6,0
COPE_0500.fp2.repr,NA,0,0.973714,0,0.021829,0,0.004457
COPE_0501.fp2.repr,z0,0.9997919997919998,0,0,0,2.08000208000208e-4,0
COPE_0502.fp2.repr,NA,0.22939299999999999,0.663759,8.13e-4,0.049212,0.033207,0.023616
COPE_0503.fp2.repr,NA,0,0.9985369985369985,0,2.3000023000023e-5,0,0.0014400014400014402
COPE_0504.fp2.repr,NA,0,0.999981,0,0,0,1.9e-5
COPE_0505.fp2.repr,z0,0.999999,0,0,0,1.0000000000000002e-6,0
COPE_0506.fp2.repr,z0,1,0,0,0,0,0
COPE_0507.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0508.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0509.fp2.repr,z1,0,1,0,0,0,0
COPE_0510.fp2.repr,NA,0,0.999865,0,0,0,1.35e-4
COPE_0511.fp2.repr,NA,0.753793,0,0,1.3e-5,0.246194,0
COPE_0512.fp2.repr,NA,0,0.999988,0,0,0,1.2e-5
COPE_0514.fp2.repr,z0,1,0,0,0,0,0
COPE_0515.fp2.repr,NA,0,0.998086,0,0,0,0.001914
COPE_0517.fp2.repr,NA,0,0.999884,0,0,0,1.16e-4
COPE_0518.fp2.repr,NA,0.999955,0,0,0,4.5e-5,0
COPE_0519.fp2.repr,z0,0.999939,0,0,0,6.1e-5,0
COPE_0520.fp2.repr,z1,0,0.9994930005069995,0,3.6999963000037e-5,0,4.6999953000047e-4
COPE_0521.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0522.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0523.fp2.repr,NA,0.742707,0,0,0.078587,0.178706,0
COPE_0524.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000003e-6
COPE_0525.fp2.repr,z1,0,0.999999,0,0,0,1.0000000000000002e-6
COPE_0526.fp2.repr,NA,0.867082,0,4.8e-5,0.115217,0.017554999999999998,9.8e-5
COPE_0527.fp2.repr,z1,0,1,0,0,0,0
COPE_0528.fp2.repr,z1,0,1,0,0,0,0
COPE_0529.fp2.repr,z1,0,0.999878,0,0,0,1.22e-4
COPE_0530.fp2.repr,z1,0,0.999995,0,0,0,5e-6
COPE_0531.fp2.repr,z1,0,1,0,0,0,0
COPE_0532.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0534.fp2.repr,z1,0,1,0,0,0,0
COPE_0535.fp2.repr,NA,0,0.999918,0,0,0,8.2e-5
COPE_0536.fp2.repr,NA,0,0.99994,0,0,0,6e-5
COPE_0537.fp2.repr,NA,0.999963,0,0,0,3.7e-5,0
COPE_0538.fp2.repr,z1,0,0.999996,0,0,0,4e-6
COPE_0539.fp2.repr,NA,0,0.999982,0,0,0,1.8e-5
COPE_0540.fp2.repr,z1,2.49e-4,0.996666,4.4e-5,5.67e-4,4.2e-5,0.0024319999999999997
COPE_0541.fp2.repr,NA,0,0.999852,0,0,0,1.48e-4
COPE_0542.fp2.repr,NA,0,1,0,0,0,0
COPE_0543.fp2.repr,z1,0,1,0,0,0,0
COPE_0544.fp2.repr,z1,0,0.99996,0,0,0,4e-5
COPE_0545.fp2.repr,z1,0,1,0,0,0,0
COPE_0546.fp2.repr,z1,0,0.999997,0,0,0,3e-6
COPE_0547.fp2.repr,z1,0,0.999979,0,0,0,2.1000000000000002e-5
COPE_0548.fp2.repr,z0,0.999988,0,0,0,1.2e-5,0
COPE_0549.fp2.repr,z0,0.999946,0,0,0,5.4e-5,0
COPE_0550.fp2.repr,NA,0.999955,0,0,0,4.5e-5,0
COPE_0551.fp2.repr,NA,0,0.5730401460802922,4.000008000016001e-6,0.3761587523175047,9.170018340036681e-4,0.049880099760199526
COPE_0552.fp2.repr,NA,0,0.999963,0,0,0,3.7000000000000005e-5
COPE_0553.fp2.repr,z0,0.9315478630957262,0.04925809851619703,0.0011800023600047201,0.00558501117002234,0.01118702237404475,0.0012420024840049681
COPE_0554.fp2.repr,z0,0.999996,0,0,0,4.000000000000001e-6,0
COPE_0555.fp2.repr,z1,0,0.999992,0,0,0,8e-6
COPE_0556.fp2.repr,z0,0.999998,0,0,0,2.0000000000000003e-6,0
COPE_0557.fp2.repr,NA,0.9582810417189583,0,0,1.1999988000012002e-5,0.04170695829304171,0
COPE_0558.fp2.repr,z1,0,1,0,0,0,0
COPE_0559.fp2.repr,z0,0.999995,0,0,0,5e-6,0
COPE_0560.fp2.repr,NA,0,0.9278649278649279,0,4.46000446000446e-4,0,0.0716890716890717
COPE_0561.fp2.repr,z1,0,1,0,0,0,0
COPE_0562.fp2.repr,z0,0.9988659988659989,0,0,3.6000036000036e-5,0.001098001098001098,0
COPE_0563.fp2.repr,NA,0,0.007139,0.002602,0.004751,0,0.985508
COPE_0565.fp2.repr,z1,0,1,0,0,0,0
COPE_0566.fp2.repr,z0,0.9997109994219988,0,0,0,2.8900057800115603e-4,0
COPE_0567.fp2.repr,z1,0,0.999998,0,0,0,2.0000000000000008e-6
COPE_0568.fp2.repr,NA,0,0.999515,0,1.0000000000000002e-6,0,4.84e-4
COPE_0569.fp2.repr,z0,0.999978,0,0,0,2.2e-5,0
COPE_0570.fp2.repr,NA,0,0.9995529995529996,0,2.0000020000020002e-6,0,4.4500044500044505e-4
COPE_0571.fp2.repr,z1,0.0279001116004464,0.9635888543554174,0.001221004884019536,0.001282005128020512,0.0010760043040172161,0.004932019728078912
COPE_0572.fp2.repr,z1,0,0.999997,0,0,0,3e-6
