prior,Indiv,Z,hybrid_class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,mean_posterior_probability,sd_posterior_probability,cv_posterior_probability
Jeffreys,COPE_0478.fp2.repr,NA,pure_a,6e-5,0,0,0,0,3.9e-4,0,0,0.00534,4.5e-4,6.24e-4,0.0016660012004797596,2.6698737187175636
Jeffreys,COPE_0478.fp2.repr,NA,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0478.fp2.repr,NA,F1,0,0,0,0,2.4e-4,0,0,6.6e-4,0,0,9e-5,2.1400934559032698e-4,2.3778816176702997
Jeffreys,COPE_0478.fp2.repr,NA,F2,0.00426,0.00266,0.00378,0.01766,0.02557,9e-5,0.10712,0.17866,0.00269,4e-5,0.034253,0.06025304769608478,1.7590589932585403
Jeffreys,COPE_0478.fp2.repr,NA,a_bx,0.99568,0.99734,0.99622,0.98234,0.97419,0.99952,0.89288,0.82067,0.99197,0.9995,0.965031,0.06008203011993963,0.062259171073198304
Jeffreys,COPE_0478.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0478.fp2.repr,NA,pure_a,0,0.0549,0.01026,0,0,2e-5,0.8215,3e-5,0.9939,0,0.188061,0.38183029122751494,2.0303534024998
uniform,COPE_0478.fp2.repr,NA,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0478.fp2.repr,NA,F1,0,0,0,1e-5,0,0,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
uniform,COPE_0478.fp2.repr,NA,F2,9.7e-4,0.00241,0.0102,0.28819,0.00502,0.00342,3e-4,3.4e-4,2e-5,0.00111,0.031198,0.09035082730974607,2.8960454936132467
uniform,COPE_0478.fp2.repr,NA,a_bx,0.99903,0.94269,0.97954,0.7118,0.99498,0.99656,0.1782,0.99963,0.00608,0.99889,0.78074,0.37554173639926863,0.4810074242376062
uniform,COPE_0478.fp2.repr,NA,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,pure_a,1,1,1,1,1,1,0.99999,1,1,1,0.999999,3.1622776601539877e-6,3.1622808224348103e-6
Jeffreys,COPE_0479.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0479.fp2.repr,z0,a_bx,0,0,0,0,0,0,1e-5,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
Jeffreys,COPE_0479.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0479.fp2.repr,z0,pure_a,1,0.99993,1,1,1,1,1,1,1,1,0.999993,2.213594362118324e-5,2.2136098573873256e-5
uniform,COPE_0479.fp2.repr,z0,pure_b,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0479.fp2.repr,z0,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0479.fp2.repr,z0,F2,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0479.fp2.repr,z0,a_bx,0,7e-5,0,0,0,0,0,0,0,0,6.999999999999999e-6,2.2135943621178656e-5,3.16227766016838
uniform,COPE_0479.fp2.repr,z0,b_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0480.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0480.fp2.repr,NA,pure_b,0.99998,0.9986,0.98054,0.99277,0.9575,0.99971,0.99993,0.99919,0.99965,0.73263,0.96605,0.08313358353343799,0.08605515608243672
Jeffreys,COPE_0480.fp2.repr,NA,F1,0,0,0,2e-5,0,0,0,0,0,0,2.0000000000000003e-6,6.324555320336759e-6,3.162277660168379
Jeffreys,COPE_0480.fp2.repr,NA,F2,0,5e-5,0.00666,0.00174,5.5e-4,0,0,3e-5,0,0.0223,0.003133,0.007046056501492323,2.2489806899113702
Jeffreys,COPE_0480.fp2.repr,NA,a_bx,0,0,0,1e-5,0,0,0,0,0,0,1.0000000000000002e-6,3.1622776601683796e-6,3.162277660168379
Jeffreys,COPE_0480.fp2.repr,NA,b_bx,2e-5,0.00135,0.0128,0.00545,0.04196,2.9e-4,7e-5,7.9e-4,3.4e-4,0.24507,0.030814,0.07639161867930568,2.4791204867691854
uniform,COPE_0480.fp2.repr,NA,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0480.fp2.repr,NA,pure_b,0.99985,0.99908,0.9984,0.99996,0.99994,0.99991,0.99086,0.99997,0.99944,0.99971,0.998712,0.002804578795866197,0.0028081957519947662
uniform,COPE_0480.fp2.repr,NA,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0480.fp2.repr,NA,F2,0,7e-5,5e-5,0,0,0,3.1e-4,0,4e-5,1e-5,4.8e-5,9.554521907918202e-5,1.9905253974829586
uniform,COPE_0480.fp2.repr,NA,a_bx,0,0,0,0,0,0,0,0,0,0,0,0,NaN
uniform,COPE_0480.fp2.repr,NA,b_bx,1.5e-4,8.5e-4,0.00155,4e-5,6e-5,9e-5,0.00883,3e-5,5.2e-4,2.8e-4,0.00124,0.0027101332480566746,2.185591329077963
Jeffreys,COPE_0481.fp2.repr,z1,pure_a,0,0,0,0,0,0,0,0,0,0,0,0,NaN
Jeffreys,COPE_0481.fp2.repr,z1,pure_b,1,1,1,1,1,1,1,1,1,1,1,0,0
Jeffreys,COPE_0481.fp2.repr,z1,F1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
