n.pca,success
69,0.9923076923076923
69,1
69,1
70,1
70,1
70,1
70,1
70,1
70,1
70,1
70,0.9615384615384616
70,1
70,1
71,0.9230769230769231
71,1
71,0.9923076923076923
71,1
71,1
71,1
71,1
71,0.9615384615384616
71,0.9615384615384616
71,0.9615384615384616
72,1
72,1
72,1
72,1
72,1
72,1
72,1
72,1
72,1
72,1
73,0.9615384615384616
73,1
73,1
73,0.9923076923076923
73,1
73,1
73,0.9615384615384616
73,1
73,1
73,1
74,0.9923076923076923
74,1
74,1
74,1
74,0.9615384615384616
74,0.9615384615384616
74,1
74,1
74,1
74,1
75,1
75,1
75,0.9615384615384616
75,0.9615384615384616
75,1
75,0.9615384615384616
75,0.9615384615384616
75,0.9923076923076923
75,1
75,0.9615384615384616
76,0.9615384615384616
76,1
76,0.9923076923076923
76,0.9615384615384616
76,0.9615384615384616
76,1
76,0.9615384615384616
76,0.9615384615384616
76,1
76,0.9615384615384616
77,1
77,1
77,0.9923076923076923
77,1
77,1
77,1
77,1
77,0.9615384615384616
77,0.9923076923076923
77,1
78,0.9615384615384616
78,1
78,0.9923076923076923
78,1
78,1
78,1
78,0.9923076923076923
78,1
78,0.9923076923076923
78,1
79,0.9923076923076923
79,1
79,1
79,1
79,0.9923076923076923
79,0.9615384615384616
79,1
79,1
79,0.9615384615384616
79,1
80,0.9615384615384616
80,0.9615384615384616
80,1
80,1
80,0.9615384615384616
80,1
80,1
80,0.9615384615384616
80,1
80,1
81,1
81,1
81,0.9615384615384616
81,1
81,1
81,1
81,0.9615384615384616
81,1
81,1
81,1
82,0.9923076923076923
82,1
82,1
82,0.9615384615384616
82,1
82,1
82,1
82,1
82,1
82,1
83,0.9615384615384616
83,1
83,1
83,1
83,0.9923076923076923
83,1
83,1
83,1
83,1
83,1
84,1
84,1
84,1
84,1
84,1
84,1
84,1
84,1
84,0.9615384615384616
84,0.9615384615384616
85,1
85,1
85,1
85,1
85,1
85,1
85,1
85,0.9230769230769231
85,1
85,1
86,1
86,1
86,0.9615384615384616
86,1
86,1
86,1
86,1
86,1
86,0.9923076923076923
86,1
87,1
87,1
87,1
87,1
87,1
87,1
87,1
87,1
87,0.9615384615384616
87,1
88,0.9615384615384616
88,1
88,1
88,0.9615384615384616
88,1
88,0.9923076923076923
88,1
88,1
88,1
88,0.9923076923076923
89,1
89,1
89,1
89,1
89,1
89,1
89,0.9615384615384616
89,1
89,0.9615384615384616
89,1
90,1
90,0.9538461538461539
90,1
90,0.9923076923076923
90,1
90,1
90,1
90,0.9615384615384616
90,0.9923076923076923
90,1
91,1
91,1
91,1
91,0.9615384615384616
91,1
91,1
91,0.9923076923076923
91,1
91,1
91,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,0.9615384615384616
92,1
92,1
93,1
93,1
93,0.9615384615384616
93,0.9615384615384616
93,0.9615384615384616
93,0.9615384615384616
93,1
93,1
93,0.9615384615384616
93,0.9538461538461539
94,1
94,1
94,1
94,1
94,1
94,1
94,0.9615384615384616
94,1
94,1
94,1
95,1
95,1
95,0.9923076923076923
95,1
95,1
95,0.9615384615384616
95,1
95,1
95,1
95,1
96,1
96,1
96,0.9923076923076923
96,1
96,1
96,0.9615384615384616
96,1
96,1
96,0.9615384615384616
96,0.9923076923076923
97,1
97,1
97,1
97,1
97,0.9923076923076923
97,0.9615384615384616
97,1
97,1
97,1
97,1
98,0.9615384615384616
98,0.9923076923076923
98,0.9923076923076923
98,1
98,1
98,1
98,1
98,1
98,1
98,1
99,1
99,1
99,0.9615384615384616
99,1
99,1
99,1
99,1
99,1
99,0.9923076923076923
99,0.9923076923076923
100,1
100,0.9923076923076923
100,0.9615384615384616
100,0.9230769230769231
100,1
100,0.8846153846153846
100,1
100,1
100,1
100,1
101,1
101,1
101,1
101,1
