n.pca,success
60,0.9615384615384616
60,0.9538461538461539
60,1
60,0.9615384615384616
60,1
60,1
60,1
61,0.9615384615384616
61,1
61,0.9615384615384616
61,1
61,1
61,0.9538461538461539
61,1
61,1
61,0.9230769230769231
61,1
62,1
62,0.9923076923076923
62,0.9538461538461539
62,0.9230769230769231
62,0.9538461538461539
62,1
62,0.9615384615384616
62,1
62,1
62,0.9615384615384616
63,1
63,0.9923076923076923
63,0.9615384615384616
63,1
63,0.9923076923076923
63,1
63,1
63,1
63,1
63,0.9923076923076923
64,1
64,1
64,1
64,1
64,1
64,1
64,0.9615384615384616
64,0.9538461538461539
64,1
64,1
65,0.9923076923076923
65,0.9615384615384616
65,1
65,1
65,1
65,1
65,0.9076923076923077
65,1
65,1
65,0.9615384615384616
66,0.9923076923076923
66,1
66,0.9615384615384616
66,1
66,1
66,0.9615384615384616
66,1
66,1
66,0.9615384615384616
66,0.9615384615384616
67,0.9615384615384616
67,1
67,0.9615384615384616
67,1
67,1
67,0.9615384615384616
67,1
67,1
67,1
67,0.9923076923076923
68,1
68,0.9615384615384616
68,0.9923076923076923
68,1
68,1
68,0.9615384615384616
68,0.9615384615384616
68,1
68,0.9615384615384616
68,1
69,0.9230769230769231
69,0.9615384615384616
69,1
69,1
69,1
69,1
69,0.9615384615384616
69,0.9615384615384616
69,1
69,1
70,0.9230769230769231
70,0.9230769230769231
70,1
70,0.9923076923076923
70,0.9538461538461539
70,0.9923076923076923
70,0.9615384615384616
70,1
70,1
70,0.9615384615384616
71,0.9615384615384616
71,1
71,1
71,1
71,1
71,1
71,1
71,0.9615384615384616
71,0.9615384615384616
71,1
72,1
72,0.9615384615384616
72,0.9615384615384616
72,0.9615384615384616
72,0.9615384615384616
72,0.9615384615384616
72,1
72,1
72,1
72,1
73,1
73,0.9615384615384616
73,1
73,1
73,1
73,1
73,0.9615384615384616
73,1
73,1
73,0.9923076923076923
74,0.9923076923076923
74,0.9923076923076923
74,1
74,0.9615384615384616
74,1
74,0.9923076923076923
74,0.9923076923076923
74,0.9230769230769231
74,0.9923076923076923
74,1
75,0.9923076923076923
75,0.9153846153846155
75,0.9615384615384616
75,0.9615384615384616
75,1
75,0.9615384615384616
75,1
75,0.9615384615384616
75,0.9615384615384616
75,1
76,1
76,0.9230769230769231
76,0.9538461538461539
76,0.9615384615384616
76,1
76,1
76,1
76,1
76,1
76,0.9923076923076923
77,1
77,1
77,1
77,1
77,0.9923076923076923
77,1
77,0.9615384615384616
77,0.9615384615384616
77,0.9615384615384616
77,1
78,1
78,1
78,1
78,1
78,1
78,0.9615384615384616
78,0.9923076923076923
78,0.9615384615384616
78,1
78,1
79,0.9615384615384616
79,1
79,0.9615384615384616
79,0.9615384615384616
79,1
79,1
79,1
79,1
79,1
79,1
80,1
80,1
80,1
