file,mapped_reads
COPE_0775.fp2.repr.10.1-RAW.bam,3430483
COPE_0776.fp2.repr.10.1-RAW.bam,1916359
COPE_0777.fp2.repr.10.1-RAW.bam,31687
COPE_0778.fp2.repr.10.1-RAW.bam,4534877
COPE_0779.fp2.repr.10.1-RAW.bam,51768
COPE_0780.fp2.repr.10.1-RAW.bam,902692
COPE_0781.fp2.repr.10.1-RAW.bam,734787
COPE_0782.fp2.repr.10.1-RAW.bam,31953163
COPE_0783.fp2.repr.10.1-RAW.bam,757653
COPE_0784.fp2.repr.10.1-RAW.bam,3011321
COPE_0785.fp2.repr.10.1-RAW.bam,12501141
COPE_0786.fp2.repr.10.1-RAW.bam,1091226
COPE_0787.fp2.repr.10.1-RAW.bam,921309
COPE_0788.fp2.repr.10.1-RAW.bam,29078396
COPE_0789.fp2.repr.10.1-RAW.bam,6927498
COPE_0790.fp2.repr.10.1-RAW.bam,4997456
COPE_0791.fp2.repr.10.1-RAW.bam,13505285
COPE_0792.fp2.repr.10.1-RAW.bam,410575
COPE_0793.fp2.repr.10.1-RAW.bam,904694
COPE_0794.fp2.repr.10.1-RAW.bam,2168871
COPE_0795.fp2.repr.10.1-RAW.bam,1972195
COPE_0796.fp2.repr.10.1-RAW.bam,12812831
COPE_0797.fp2.repr.10.1-RAW.bam,5596655
COPE_0798.fp2.repr.10.1-RAW.bam,2694437
COPE_0799.fp2.repr.10.1-RAW.bam,24990768
COPE_0800.fp2.repr.10.1-RAW.bam,7132018
COPE_0801.fp2.repr.10.1-RAW.bam,32276232
COPE_0802.fp2.repr.10.1-RAW.bam,148505
COPE_0803.fp2.repr.10.1-RAW.bam,4542329
COPE_0804.fp2.repr.10.1-RAW.bam,319094
COPE_0805.fp2.repr.10.1-RAW.bam,7195843
COPE_0806.fp2.repr.10.1-RAW.bam,645226
COPE_0807.fp2.repr.10.1-RAW.bam,725338
COPE_0808.fp2.repr.10.1-RAW.bam,4910683
COPE_0809.fp2.repr.10.1-RAW.bam,5452795
COPE_0810.fp2.repr.10.1-RAW.bam,474388
COPE_0811.fp2.repr.10.1-RAW.bam,943772
COPE_0812.fp2.repr.10.1-RAW.bam,4073419
COPE_0813.fp2.repr.10.1-RAW.bam,5218818
COPE_0814.fp2.repr.10.1-RAW.bam,12022827
COPE_0815.fp2.repr.10.1-RAW.bam,1849929
COPE_0816.fp2.repr.10.1-RAW.bam,3273304
COPE_0817.fp2.repr.10.1-RAW.bam,1106552
COPE_0818.fp2.repr.10.1-RAW.bam,15351136
COPE_0819.fp2.repr.10.1-RAW.bam,5472794
COPE_0820.fp2.repr.10.1-RAW.bam,900752
COPE_0821.fp2.repr.10.1-RAW.bam,5098106
COPE_0822.fp2.repr.10.1-RAW.bam,12165914
COPE_0823.fp2.repr.10.1-RAW.bam,3451389
COPE_0824.fp2.repr.10.1-RAW.bam,1759896
COPE_0825.fp2.repr.10.1-RAW.bam,411992
COPE_0826.fp2.repr.10.1-RAW.bam,13520267
COPE_0827.fp2.repr.10.1-RAW.bam,57480
COPE_0828.fp2.repr.10.1-RAW.bam,831758
COPE_0829.fp2.repr.10.1-RAW.bam,851887
COPE_0830.fp2.repr.10.1-RAW.bam,4041332
COPE_0831.fp2.repr.10.1-RAW.bam,37169635
COPE_0832.fp2.repr.10.1-RAW.bam,198125
COPE_0833.fp2.repr.10.1-RAW.bam,28719903
COPE_0834.fp2.repr.10.1-RAW.bam,1413839
COPE_0835.fp2.repr.10.1-RAW.bam,696141
COPE_0836.fp2.repr.10.1-RAW.bam,9782290
COPE_0837.fp2.repr.10.1-RAW.bam,4568986
COPE_0838.fp2.repr.10.1-RAW.bam,194658
COPE_0839.fp2.repr.10.1-RAW.bam,66131
COPE_0840.fp2.repr.10.1-RAW.bam,7336100
COPE_0841.fp2.repr.10.1-RAW.bam,9752695
COPE_0842.fp2.repr.10.1-RAW.bam,6419914
COPE_0843.fp2.repr.10.1-RAW.bam,2175462
COPE_0845.fp2.repr.10.1-RAW.bam,449152
COPE_0846.fp2.repr.10.1-RAW.bam,19188102
COPE_0847.fp2.repr.10.1-RAW.bam,457903
COPE_0848.fp2.repr.10.1-RAW.bam,10934784
COPE_0849.fp2.repr.10.1-RAW.bam,8733782
COPE_0850.fp2.repr.10.1-RAW.bam,1595255
COPE_0851.fp2.repr.10.1-RAW.bam,11241015
COPE_0852.fp2.repr.10.1-RAW.bam,984240
COPE_0853.fp2.repr.10.1-RAW.bam,4891557
COPE_0854.fp2.repr.10.1-RAW.bam,667004
COPE_0855.fp2.repr.10.1-RAW.bam,524141
COPE_0856.fp2.repr.10.1-RAW.bam,2436801
COPE_0857.fp2.repr.10.1-RAW.bam,9807828
COPE_0858.fp2.repr.10.1-RAW.bam,264492
COPE_0859.fp2.repr.10.1-RAW.bam,291049
COPE_0860.fp2.repr.10.1-RAW.bam,2177029
COPE_0861.fp2.repr.10.1-RAW.bam,868935
COPE_0862.fp2.repr.10.1-RAW.bam,4904177
COPE_0863.fp2.repr.10.1-RAW.bam,1451707
COPE_0864.fp2.repr.10.1-RAW.bam,5393769
COPE_0865.fp2.repr.10.1-RAW.bam,977360
COPE_0866.fp2.repr.10.1-RAW.bam,44285204
COPE_0867.fp2.repr.10.1-RAW.bam,5853983
COPE_0868.fp2.repr.10.1-RAW.bam,6206703
COPE_0869.fp2.repr.10.1-RAW.bam,2437052
COPE_0870.fp2.repr.10.1-RAW.bam,10440173
COPE_0871.fp2.repr.10.1-RAW.bam,5112280
COPE_0872.fp2.repr.10.1-RAW.bam,15017626
