Sample	Passed Filter	Low Quality	Too Many N	Too short
COPE-0669	612172.0	3336.0	0.0	8370.0
COPE-0670	294038.0	1166.0	0.0	6054.0
COPE-0671	2096432.0	5532.0	0.0	15544.0
COPE-0672	920594.0	3710.0	0.0	8710.0
COPE-0673	2884850.0	7660.0	0.0	21916.0
COPE-0674	7904570.0	29360.0	0.0	78302.0
COPE-0675	17889868.0	70914.0	0.0	141740.0
COPE-0676	3819716.0	13644.0	0.0	34776.0
COPE-0677	11665592.0	46718.0	0.0	138408.0
COPE-0678	1722506.0	5432.0	0.0	13726.0
COPE-0679	1436258.0	8844.0	0.0	12672.0
COPE-0680	3993782.0	13410.0	0.0	41088.0
COPE-0681	1460828.0	4382.0	0.0	10910.0
COPE-0682	8263760.0	30916.0	0.0	73924.0
COPE-0683	6916722.0	27052.0	0.0	61150.0
COPE-0684	2936800.0	9878.0	0.0	28624.0
COPE-0685	2054746.0	8466.0	0.0	13968.0
COPE-0686	1468238.0	4354.0	0.0	15022.0
COPE-0687	617618.0	2372.0	0.0	9628.0
COPE-0688	4011486.0	10466.0	0.0	39924.0
COPE-0689	10310.0	22.0	0.0	624.0
COPE-0690	3040294.0	10448.0	0.0	25162.0
COPE-0691	18790.0	170.0	0.0	62.0
COPE-0692	2740050.0	6060.0	0.0	14788.0
COPE-0693	2817496.0	7322.0	0.0	26528.0
COPE-0694	5140506.0	19484.0	0.0	40892.0
COPE-0695	6893222.0	29248.0	0.0	66006.0
COPE-0696	6493068.0	16052.0	0.0	59504.0
COPE-0697	2976896.0	10508.0	0.0	28426.0
COPE-0698	397670.0	2096.0	0.0	20034.0
COPE-0699	24122872.0	56466.0	0.0	247724.0
COPE-0700	5677946.0	19428.0	0.0	44706.0
COPE-0701	839188.0	1956.0	0.0	5816.0
COPE-0702	7637808.0	28482.0	0.0	70648.0
COPE-0703	2541112.0	10148.0	0.0	21076.0
COPE-0704	1106260.0	4742.0	0.0	12158.0
COPE-0705	17181656.0	66852.0	0.0	183608.0
COPE-0706	3450846.0	11802.0	0.0	35872.0
COPE-0707	523596.0	2006.0	0.0	2646.0
COPE-0708	10347806.0	37708.0	0.0	90300.0
COPE-0709	9572498.0	36652.0	0.0	109464.0
COPE-0710	47368.0	382.0	0.0	514.0
COPE-0711	5156184.0	16092.0	0.0	57924.0
COPE-0712	4932870.0	22400.0	0.0	48562.0
COPE-0713	4581830.0	37298.0	0.0	60608.0
COPE-0714	15004.0	34.0	0.0	96.0
COPE-0715	516064.0	1746.0	0.0	6418.0
COPE-0716	6897172.0	23298.0	0.0	63434.0
COPE-0717	4603806.0	15222.0	0.0	39098.0
COPE-0718	5406402.0	18610.0	0.0	55084.0
COPE-0719	3424774.0	12306.0	0.0	28100.0
COPE-0720	1399438.0	6422.0	0.0	12528.0
COPE-0721	3896484.0	11450.0	0.0	38246.0
COPE-0722	5074440.0	18248.0	0.0	51912.0
COPE-0723	5239698.0	13498.0	0.0	46554.0
COPE-0724	393756.0	1116.0	0.0	3380.0
COPE-0725	6874876.0	29634.0	0.0	62814.0
COPE-0726	7777082.0	26208.0	0.0	66036.0
COPE-0727	762746.0	2300.0	0.0	7212.0
COPE-0728	818548.0	2926.0	0.0	9966.0
COPE-0729	3326756.0	12154.0	0.0	25504.0
COPE-0730	2347486.0	7356.0	0.0	23292.0
COPE-0731	2101522.0	9616.0	0.0	19984.0
COPE-0732	3552940.0	13730.0	0.0	31382.0
COPE-0733	13434.0	60.0	0.0	218.0
COPE-0734	7450400.0	28216.0	0.0	53212.0
COPE-0735	18230324.0	68694.0	0.0	147032.0
COPE-0736	218038.0	712.0	0.0	2482.0
COPE-0737	2523102.0	11840.0	0.0	21638.0
COPE-0738	5061278.0	22868.0	0.0	56076.0
COPE-0739	5358032.0	21196.0	0.0	42340.0
COPE-0740	577144.0	1462.0	0.0	4434.0
COPE-0741	3745890.0	16510.0	0.0	29162.0
COPE-0742	2511214.0	6496.0	0.0	20834.0
COPE-0743	1928716.0	8234.0	0.0	19672.0
COPE-0744	14594784.0	34990.0	0.0	128924.0
COPE-0745	293494.0	1420.0	0.0	18536.0
COPE-0746	5986022.0	22276.0	0.0	58780.0
COPE-0747	363734.0	1398.0	0.0	2548.0
COPE-0748	8571060.0	26882.0	0.0	79690.0
COPE-0749	10642114.0	45116.0	0.0	84442.0
COPE-0750	2918542.0	9104.0	0.0	29914.0
COPE-0751	1398834.0	5568.0	0.0	11216.0
COPE-0752	5077728.0	18354.0	0.0	39802.0
COPE-0753	5300572.0	13198.0	0.0	57708.0
COPE-0754	8098782.0	29276.0	0.0	63452.0
COPE-0755	13683250.0	41948.0	0.0	142076.0
COPE-0756	5047330.0	12696.0	0.0	50206.0
COPE-0757	2792218.0	9008.0	0.0	31618.0
COPE-0758	8532540.0	23404.0	0.0	79946.0
COPE-0759	4397018.0	12438.0	0.0	47394.0
COPE-0760	952034.0	3450.0	0.0	8130.0
COPE-0761	411058.0	966.0	0.0	3706.0
COPE-0762	3788710.0	13508.0	0.0	27148.0
COPE-0763	9834198.0	28402.0	0.0	82298.0
COPE-0764	645408.0	1862.0	0.0	5516.0
COPE-0765	10052142.0	34246.0	0.0	92956.0
COPE-0766	2444788.0	7772.0	0.0	29910.0
COPE-0767	4246720.0	11636.0	0.0	39398.0
COPE-0768	5100488.0	19356.0	0.0	34708.0
COPE-0769	3183236.0	10342.0	0.0	27798.0
COPE-0770	4610888.0	16060.0	0.0	41130.0
COPE-0771	3776688.0	10902.0	0.0	28786.0
COPE-0772	12016356.0	39612.0	0.0	97810.0
COPE-0773	4178610.0	14336.0	0.0	43456.0
COPE-0774	269046.0	884.0	0.0	2314.0
COPE-0775	2635016.0	10818.0	0.0	24650.0
COPE-0776	1450492.0	2520.0	0.0	7214.0
COPE-0777	33766.0	1400.0	0.0	366.0
COPE-0778	3384396.0	15292.0	0.0	34578.0
COPE-0779	31912.0	120.0	0.0	348.0
COPE-0780	678002.0	2074.0	0.0	4706.0
COPE-0781	488026.0	1396.0	0.0	3998.0
COPE-0782	18733040.0	71976.0	0.0	154988.0
COPE-0783	512006.0	1746.0	0.0	11998.0
COPE-0784	2395274.0	6788.0	0.0	14694.0
COPE-0785	8042406.0	24850.0	0.0	83004.0
COPE-0786	820290.0	2574.0	0.0	5774.0
COPE-0787	543592.0	1722.0	0.0	8342.0
COPE-0788	19687112.0	51366.0	0.0	164084.0
COPE-0789	5501772.0	20196.0	0.0	37840.0
COPE-0790	3715320.0	11784.0	0.0	35780.0
COPE-0791	9804670.0	33678.0	0.0	103532.0
COPE-0792	244608.0	894.0	0.0	1724.0
COPE-0793	660516.0	2514.0	0.0	11156.0
COPE-0794	1543768.0	5686.0	0.0	14938.0
COPE-0795	1406710.0	6036.0	0.0	14052.0
COPE-0796	9246466.0	34278.0	0.0	89768.0
COPE-0797	4055460.0	14200.0	0.0	35106.0
COPE-0798	2074220.0	7442.0	0.0	19840.0
COPE-0799	18479614.0	63264.0	0.0	171558.0
COPE-0800	5299442.0	16468.0	0.0	84532.0
COPE-0801	24032230.0	84064.0	0.0	201652.0
COPE-0802	116668.0	598.0	0.0	1466.0
COPE-0803	3437822.0	18768.0	0.0	30168.0
COPE-0804	224610.0	1264.0	0.0	2090.0
COPE-0805	5301516.0	17186.0	0.0	48610.0
COPE-0806	475954.0	1878.0	0.0	7700.0
COPE-0807	414592.0	1032.0	0.0	3204.0
COPE-0808	3684684.0	13340.0	0.0	37020.0
COPE-0809	4056054.0	14926.0	0.0	35090.0
COPE-0810	307528.0	1148.0	0.0	14828.0
COPE-0811	683948.0	1986.0	0.0	42578.0
COPE-0812	3084306.0	10406.0	0.0	32146.0
COPE-0813	3577750.0	8876.0	0.0	35438.0
COPE-0814	6969586.0	16228.0	0.0	56310.0
COPE-0815	1445102.0	4730.0	0.0	12624.0
COPE-0816	2478922.0	7644.0	0.0	22754.0
COPE-0817	652782.0	3708.0	0.0	6144.0
COPE-0818	11082730.0	45458.0	0.0	120256.0
COPE-0819	3657114.0	9876.0	0.0	44226.0
COPE-0820	671784.0	2028.0	0.0	5292.0
COPE-0821	3874380.0	14134.0	0.0	37480.0
COPE-0822	9163724.0	24674.0	0.0	89786.0
COPE-0823	2113616.0	6010.0	0.0	22804.0
COPE-0824	1359006.0	6364.0	0.0	12852.0
COPE-0825	291728.0	1056.0	0.0	2662.0
COPE-0826	10102582.0	28594.0	0.0	81278.0
COPE-0827	37564.0	170.0	0.0	560.0
COPE-0828	617766.0	3014.0	0.0	7258.0
COPE-0829	562742.0	1550.0	0.0	12696.0
COPE-0830	2344878.0	5864.0	0.0	16548.0
COPE-0831	25834474.0	76312.0	0.0	248118.0
COPE-0832	118616.0	378.0	0.0	2262.0
COPE-0833	21054580.0	65424.0	0.0	198958.0
COPE-0834	832812.0	1942.0	0.0	5972.0
COPE-0835	424796.0	1798.0	0.0	3618.0
COPE-0836	6518012.0	26368.0	0.0	66284.0
COPE-0837	3521560.0	12276.0	0.0	29566.0
COPE-0838	124948.0	504.0	0.0	1482.0
COPE-0839	36900.0	234.0	0.0	826.0
COPE-0840	5287410.0	14656.0	0.0	53204.0
COPE-0841	7486908.0	24650.0	0.0	50240.0
COPE-0842	4454838.0	14430.0	0.0	45094.0
COPE-0843	1490850.0	4904.0	0.0	15698.0
COPE-0844	9222.0	38.0	0.0	1698.0
COPE-0845	365026.0	1256.0	0.0	2360.0
COPE-0846	11401610.0	50354.0	0.0	97464.0
COPE-0847	336072.0	1044.0	0.0	6844.0
COPE-0848	7765132.0	26994.0	0.0	70170.0
COPE-0849	6634746.0	23076.0	0.0	57006.0
COPE-0850	1169888.0	4700.0	0.0	10102.0
COPE-0851	8430750.0	29918.0	0.0	73288.0
COPE-0852	825740.0	3146.0	0.0	5932.0
COPE-0853	3169940.0	8260.0	0.0	31784.0
COPE-0854	482216.0	1826.0	0.0	6388.0
COPE-0855	304680.0	778.0	0.0	2446.0
COPE-0856	1579100.0	5518.0	0.0	12190.0
COPE-0857	6029766.0	15644.0	0.0	38808.0
COPE-0858	178470.0	2906.0	0.0	1712.0
COPE-0859	190294.0	694.0	0.0	1924.0
COPE-0860	1584976.0	3070.0	0.0	8058.0
COPE-0861	680456.0	2380.0	0.0	5960.0
COPE-0862	3559556.0	11058.0	0.0	37694.0
COPE-0863	1087716.0	3214.0	0.0	11582.0
COPE-0864	3686950.0	11572.0	0.0	29858.0
COPE-0865	786368.0	2826.0	0.0	7030.0
COPE-0866	33242874.0	87500.0	0.0	464538.0
COPE-0867	4427978.0	15378.0	0.0	41916.0
COPE-0868	4776150.0	16650.0	0.0	45988.0
COPE-0869	2310558.0	5196.0	0.0	9648.0
COPE-0870	7703666.0	20914.0	0.0	64226.0
COPE-0871	3485908.0	11384.0	0.0	36284.0
COPE-0872	11713230.0	39066.0	0.0	87002.0
COPE-0873	834546.0	4208.0	0.0	6470.0
COPE-0874	1027884.0	4838.0	0.0	10312.0
COPE-0875	90810.0	388.0	0.0	1014.0
COPE-0876	29531402.0	105978.0	0.0	295562.0
COPE-0877	901332.0	3190.0	0.0	8792.0
COPE-0878	6817896.0	20124.0	0.0	95150.0
COPE-0879	13297844.0	54166.0	0.0	152474.0
COPE-0880	164600.0	624.0	0.0	1284.0
COPE-0881	1878.0	20.0	0.0	4.0
COPE-0882	3600184.0	14392.0	0.0	29030.0
COPE-0883	33641258.0	120810.0	0.0	268488.0
COPE-0884	112402.0	320.0	0.0	1020.0
COPE-0885	1866782.0	8212.0	0.0	17348.0
COPE-0886	5220138.0	17784.0	0.0	49512.0
COPE-0887	1028832.0	2406.0	0.0	8128.0
COPE-0888	2172696.0	8310.0	0.0	18034.0
COPE-0889	11020244.0	28526.0	0.0	79524.0
COPE-0890	2911156.0	11604.0	0.0	23714.0
COPE-0891	4435802.0	12312.0	0.0	41578.0
COPE-0892	5880790.0	15662.0	0.0	67872.0
COPE-0893	1754232.0	6412.0	0.0	15718.0
COPE-0894	5397122.0	17666.0	0.0	48562.0
COPE-0895	7594336.0	28014.0	0.0	74376.0
COPE-0896	72448.0	344.0	0.0	598.0
COPE-0897	3094508.0	14374.0	0.0	29794.0
COPE-0898	2138992.0	5930.0	0.0	14536.0
