Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0617.fp2.repr,NA,0.9163516247164623,5.00000450000405e-7,1.5500013950012556e-5,0.05643475079127571,0.02681582413424172,3.8180034362030925e-4
COPE_0618.fp2.repr,NA,0.9553689,0,0,1.023e-4,0.0445288,0
COPE_0619.fp2.repr,z1,0,0.9999946,0,0,0,5.4e-6
COPE_0620.fp2.repr,NA,0.9995351,0,0,2.0000000000000002e-7,4.647e-4,0
COPE_0621.fp2.repr,z0,0.9999766,0,0,0,2.34e-5,0
COPE_0622.fp2.repr,z0,0.9999876,0,0,0,1.2400000000000002e-5,0
COPE_0623.fp2.repr,z0,0.9999532,0,0,4.1e-6,4.27e-5,0
COPE_0624.fp2.repr,z0,0.9999977,0,0,0,2.3e-6,0
COPE_0625.fp2.repr,z0,0.9999698,0,0,1.6e-6,2.86e-5,0
COPE_0626.fp2.repr,z0,0.9999881,0,0,2.0000000000000002e-7,1.1700000000000001e-5,0
COPE_0627.fp2.repr,NA,0,0.99923069976921,0,4.400001320000396e-6,0,7.649002294700689e-4
COPE_0628.fp2.repr,z1,0.09567571481085778,0.891642369970844,0.00176380211656254,0.0028385034062040873,0.0019319023182827822,0.0061477073772488525
COPE_0629.fp2.repr,z1,0,0.99992859997858,0,1.4000004200001262e-6,0,7.00000210000063e-5
COPE_0630.fp2.repr,NA,0,0.9999363,0,0,0,6.37e-5
COPE_0631.fp2.repr,z1,0,0.99985739998574,1.00000010000001e-7,1.0400001040000104e-5,0,1.3210001321000133e-4
COPE_0632.fp2.repr,z1,0,0.9999937,0,0,0,6.3e-6
COPE_0633.fp2.repr,z1,0,0.9999882,0,0,0,1.18e-5
COPE_0634.fp2.repr,NA,0,0.9999938,0,0,0,6.2e-6
COPE_0635.fp2.repr,z1,0,0.9999935,0,0,0,6.5000000000000004e-6
COPE_0636.fp2.repr,z1,0,0.99996139999614,0,1.00000010000001e-7,0,3.8500003850000384e-5
COPE_0637.fp2.repr,NA,0,0.9997452,0,1.0000000000000001e-7,0,2.547e-4
COPE_0638.fp2.repr,NA,0.9912588991258899,0,0,6.600000660000067e-6,0.00873450087345009,0
COPE_0639.fp2.repr,NA,0,0.9999669999967,0,0,0,3.300000330000034e-5
COPE_0640.fp2.repr,NA,0,0.992238,0,7.000000000000001e-7,0,0.0077613000000000005
COPE_0641.fp2.repr,z1,3.50000140000056e-6,0.9990617996247199,7.300002920001169e-6,6.590002636001054e-5,3.2000012800005123e-6,8.583003433201373e-4
COPE_0642.fp2.repr,NA,0.9959608,0,0,1.2e-6,0.004038,0
COPE_0643.fp2.repr,z0,0.9999844,0,0,0,1.56e-5,0
COPE_0644.fp2.repr,NA,0.9773705977370597,0,0,0.004197800419780041,0.018431601843160183,0
COPE_0645.fp2.repr,z1,0,0.9999963,0,0,0,3.7e-6
COPE_0646.fp2.repr,z1,0,0.99991109999111,0,5.00000050000005e-7,0,8.840000884000088e-5
COPE_0647.fp2.repr,z1,0,0.9999827,0,0,0,1.73e-5
COPE_0648.fp2.repr,NA,0,0.9966869003313099,0,2.599999740000026e-6,0,0.003310499668950033
COPE_0649.fp2.repr,z0,0.9999129,0,0,0,8.71e-5,0
COPE_0650.fp2.repr,NA,0,0.9999599000040099,0,9.9999990000001e-8,0,3.999999600000039e-5
COPE_0651.fp2.repr,z1,0,0.9999729999973,0,1.00000010000001e-7,0,2.6900002690000268e-5
COPE_0652.fp2.repr,z1,0,0.9999979,0,0,0,2.1000000000000002e-6
COPE_0653.fp2.repr,NA,0,0.9999867,0,0,0,1.3300000000000001e-5
COPE_0654.fp2.repr,z0,0.9999914,0,0,0,8.6e-6,0
COPE_0655.fp2.repr,z0,0.9999946,0,0,3e-7,5.1e-6,0
COPE_0656.fp2.repr,NA,0,0.99948719994872,0,3.00000030000003e-7,0,5.125000512500052e-4
COPE_0657.fp2.repr,NA,0,0.99991780000822,0,1.7999998200000181e-6,0,8.039999196000081e-5
COPE_0658.fp2.repr,z0,0.9966040989812297,0,1.100000330000099e-6,0.0011707003512101053,0.0022206006661801996,3.500001050000315e-6
COPE_0659.fp2.repr,NA,0,0.9851741970348394,7.400001480000296e-6,7.321001464200293e-4,1.0000002000000401e-7,0.014086202817240564
COPE_0660.fp2.repr,NA,0,0.9826541,0,4.0000000000000003e-7,0,0.0173455
COPE_0661.fp2.repr,NA,0,0.9999599,0,0,0,4.01e-5
COPE_0662.fp2.repr,z0,0.9999285,0,0,1.08e-5,6.07e-5,0
COPE_0663.fp2.repr,NA,0,0.9981707994512399,0,5.200001560000468e-6,0,0.0018240005472001642
COPE_0664.fp2.repr,NA,0,0.99983859998386,0,0,0,1.6140001614000163e-4
COPE_0665.fp2.repr,z1,0,0.9999891,0,0,0,1.09e-5
COPE_0666.fp2.repr,NA,0,0.9992195993756795,0,2.5900020720016576e-5,0,7.545006036004829e-4
COPE_0667.fp2.repr,z0,0.9999426,0,0,1.0000000000000001e-7,5.73e-5,0
COPE_0668.fp2.repr,z0,0.9999852999985299,0,0,1.00000010000001e-7,1.4600001460000146e-5,0
COPE_0669.fp2.repr,NA,0.9944587983376395,0,0,1.0100003030000909e-5,0.005531101659330497,0
COPE_0670.fp2.repr,NA,0,0.9998106,0,0,0,1.894e-4
COPE_0671.fp2.repr,z1,0,0.9999948,0,0,0,5.2e-6
COPE_0672.fp2.repr,z1,0,0.9999977,0,0,0,2.3e-6
COPE_0673.fp2.repr,NA,0,0.9871756038473188,0,0.011070596678820996,0,0.001753799473860158
COPE_0674.fp2.repr,NA,0,0.9998964,0,0,0,1.036e-4
COPE_0675.fp2.repr,z1,0,0.9999788000000001,0,1.0000000000000001e-7,0,2.11e-5
COPE_0676.fp2.repr,NA,0,0,0.8431395372558149,0.03825191530076612,3.392001356800543e-4,0.11826934730773891
