Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Coral	Plant	Viruses	Vectors	Multiple Genomes	No hits
COPE-0640.fp2_r2_screen	18131.0	19631.0	1402.0	5205.0	2651.0	132.0	122.0	36.0	1.0	192699.0	7307471.0
COPE-0641.fp2_r1_screen	18.0	2.0	8.0	0.0	1.0	1.0	0.0	0.0	0.0	193.0	11111.0
COPE-0641.fp2_r2_screen	34.0	16.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	215.0	11056.0
COPE-0642.fp2_r1_screen	841.0	90.0	132.0	15.0	78.0	17.0	5.0	0.0	0.0	6218.0	717670.0
COPE-0642.fp2_r2_screen	1570.0	1066.0	228.0	241.0	263.0	149.0	6.0	0.0	0.0	6048.0	715495.0
COPE-0643.fp2_r1_screen	1205.0	142.0	57.0	22.0	106.0	30.0	11.0	3.0	0.0	6023.0	630907.0
COPE-0643.fp2_r2_screen	1639.0	1013.0	160.0	287.0	161.0	48.0	7.0	0.0	0.0	5305.0	629886.0
COPE-0644.fp2_r1_screen	1333.0	300.0	317.0	11.0	179.0	91.0	19.0	1.0	0.0	6421.0	738891.0
COPE-0644.fp2_r2_screen	1236.0	583.0	192.0	516.0	149.0	68.0	9.0	1.0	0.0	6890.0	737919.0
COPE-0645.fp2_r1_screen	10229.0	1227.0	564.0	1023.0	802.0	379.0	291.0	6.0	0.0	32021.0	5242257.0
COPE-0645.fp2_r2_screen	13921.0	3482.0	1899.0	1891.0	1285.0	655.0	39.0	81.0	0.0	29107.0	5236439.0
COPE-0646.fp2_r1_screen	692.0	157.0	22.0	89.0	88.0	17.0	19.0	1.0	0.0	2610.0	348144.0
COPE-0646.fp2_r2_screen	850.0	1042.0	30.0	192.0	142.0	9.0	2.0	0.0	0.0	6916.0	342656.0
COPE-0647.fp2_r1_screen	3613.0	293.0	151.0	268.0	150.0	354.0	153.0	5.0	1.0	14122.0	1911100.0
COPE-0647.fp2_r2_screen	5382.0	2199.0	210.0	784.0	535.0	37.0	33.0	1.0	0.0	18035.0	1902994.0
COPE-0648.fp2_r1_screen	243.0	29.0	13.0	13.0	6.0	9.0	16.0	0.0	0.0	820.0	127863.0
COPE-0648.fp2_r2_screen	289.0	75.0	49.0	38.0	21.0	2.0	2.0	2.0	0.0	671.0	127863.0
COPE-0649.fp2_r1_screen	11407.0	972.0	292.0	342.0	888.0	362.0	79.0	11.0	0.0	21257.0	3835025.0
COPE-0649.fp2_r2_screen	9541.0	3643.0	1254.0	900.0	1932.0	227.0	22.0	20.0	0.0	17684.0	3835412.0
COPE-0650.fp2_r1_screen	8448.0	983.0	188.0	389.0	527.0	216.0	278.0	25.0	0.0	22034.0	3859555.0
COPE-0650.fp2_r2_screen	8954.0	2730.0	1026.0	1683.0	994.0	95.0	46.0	3.0	0.0	19503.0	3857609.0
COPE-0651.fp2_r1_screen	2112.0	310.0	92.0	183.0	127.0	28.0	46.0	1.0	0.0	6615.0	1258968.0
COPE-0651.fp2_r2_screen	3383.0	2980.0	99.0	481.0	267.0	17.0	49.0	7.0	0.0	18468.0	1242731.0
COPE-0652.fp2_r1_screen	2114.0	202.0	49.0	365.0	149.0	66.0	46.0	1.0	11.0	6955.0	956761.0
COPE-0652.fp2_r2_screen	2203.0	836.0	272.0	493.0	185.0	99.0	19.0	1.0	0.0	6236.0	956375.0
COPE-0653.fp2_r1_screen	2115.0	265.0	72.0	197.0	60.0	19.0	25.0	4.0	0.0	8955.0	972421.0
COPE-0653.fp2_r2_screen	3305.0	1623.0	191.0	653.0	207.0	171.0	15.0	13.0	0.0	8584.0	969371.0
COPE-0654.fp2_r1_screen	1756.0	298.0	106.0	36.0	215.0	160.0	25.0	0.0	2.0	7877.0	987093.0
COPE-0654.fp2_r2_screen	2686.0	779.0	160.0	604.0	313.0	114.0	26.0	0.0	0.0	7389.0	985497.0
COPE-0655.fp2_r1_screen	2007.0	403.0	104.0	59.0	189.0	23.0	26.0	0.0	0.0	9518.0	1023648.0
COPE-0655.fp2_r2_screen	2364.0	1566.0	245.0	696.0	659.0	316.0	27.0	16.0	0.0	7994.0	1022094.0
