file,sample,number_reads
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0573.fp2.repr.r1.fq.gz,COPE_0573,512502
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0574.fp2.repr.r1.fq.gz,COPE_0574,2480
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0575.fp2.repr.r1.fq.gz,COPE_0575,1975345
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0576.fp2.repr.r1.fq.gz,COPE_0576,1197683
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0577.fp2.repr.r1.fq.gz,COPE_0577,488290
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0578.fp2.repr.r1.fq.gz,COPE_0578,264657
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0579.fp2.repr.r1.fq.gz,COPE_0579,5212250
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0580.fp2.repr.r1.fq.gz,COPE_0580,292292
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0581.fp2.repr.r1.fq.gz,COPE_0581,804
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0582.fp2.repr.r1.fq.gz,COPE_0582,10223402
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0583.fp2.repr.r1.fq.gz,COPE_0583,1018374
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0584.fp2.repr.r1.fq.gz,COPE_0584,10503937
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0585.fp2.repr.r1.fq.gz,COPE_0585,110215
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0586.fp2.repr.r1.fq.gz,COPE_0586,834767
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0587.fp2.repr.r1.fq.gz,COPE_0587,2319673
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0588.fp2.repr.r1.fq.gz,COPE_0588,1955710
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0589.fp2.repr.r1.fq.gz,COPE_0589,3888441
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0590.fp2.repr.r1.fq.gz,COPE_0590,3855
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0591.fp2.repr.r1.fq.gz,COPE_0591,1281397
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0592.fp2.repr.r1.fq.gz,COPE_0592,1612261
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0593.fp2.repr.r1.fq.gz,COPE_0593,587921
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0594.fp2.repr.r1.fq.gz,COPE_0594,1724364
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0595.fp2.repr.r1.fq.gz,COPE_0595,4730024
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0596.fp2.repr.r1.fq.gz,COPE_0596,10160815
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0597.fp2.repr.r1.fq.gz,COPE_0597,3269388
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0598.fp2.repr.r1.fq.gz,COPE_0598,31499
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0599.fp2.repr.r1.fq.gz,COPE_0599,97608
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0600.fp2.repr.r1.fq.gz,COPE_0600,4838197
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0601.fp2.repr.r1.fq.gz,COPE_0601,2688731
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0602.fp2.repr.r1.fq.gz,COPE_0602,2280047
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0603.fp2.repr.r1.fq.gz,COPE_0603,764736
/work/hobi/jselwyn/Coryphopterus_RAD/NovaSeq/fq_fp1_fp2_fqscrn_repaired/COPE_0604.fp2.repr.r1.fq.gz,COPE_0604,340193
