Sample	Passed Filter	Low Quality	Too Many N	Too short
COPE-0717.r1r2_fastp	4520166.0	0.0	0.0	83640.0
COPE-0718.r1r2_fastp	5205090.0	0.0	0.0	201312.0
COPE-0719.r1r2_fastp	3253238.0	0.0	0.0	171536.0
COPE-0720.r1r2_fastp	1300574.0	0.0	0.0	98864.0
COPE-0721.r1r2_fastp	3693730.0	0.0	0.0	202754.0
COPE-0722.r1r2_fastp	4972784.0	0.0	0.0	101656.0
COPE-0723.r1r2_fastp	4795500.0	0.0	0.0	444198.0
COPE-0724.r1r2_fastp	361052.0	0.0	0.0	32704.0
COPE-0725.r1r2_fastp	6625462.0	0.0	0.0	249414.0
COPE-0726.r1r2_fastp	7620850.0	0.0	0.0	156232.0
COPE-0727.r1r2_fastp	738940.0	0.0	0.0	23806.0
COPE-0728.r1r2_fastp	801116.0	0.0	0.0	17432.0
COPE-0729.r1r2_fastp	3255948.0	0.0	0.0	70808.0
COPE-0730.r1r2_fastp	2305370.0	0.0	0.0	42116.0
COPE-0731.r1r2_fastp	2008422.0	0.0	0.0	93100.0
COPE-0732.r1r2_fastp	3487760.0	0.0	0.0	65180.0
COPE-0733.r1r2_fastp	13192.0	0.0	0.0	242.0
COPE-0734.r1r2_fastp	7164272.0	0.0	0.0	286128.0
COPE-0735.r1r2_fastp	17883418.0	0.0	0.0	346906.0
COPE-0736.r1r2_fastp	213858.0	0.0	0.0	4180.0
COPE-0737.r1r2_fastp	2464516.0	0.0	0.0	58586.0
COPE-0738.r1r2_fastp	4936322.0	0.0	0.0	124956.0
COPE-0739.r1r2_fastp	5245390.0	0.0	0.0	112642.0
COPE-0740.r1r2_fastp	568746.0	0.0	0.0	8398.0
COPE-0741.r1r2_fastp	3681270.0	0.0	0.0	64620.0
COPE-0742.r1r2_fastp	2470624.0	0.0	0.0	40590.0
COPE-0743.r1r2_fastp	1885294.0	0.0	0.0	43422.0
COPE-0744.r1r2_fastp	14362484.0	0.0	0.0	232300.0
COPE-0745.r1r2_fastp	287226.0	0.0	0.0	6268.0
COPE-0746.r1r2_fastp	5791940.0	0.0	0.0	194082.0
COPE-0747.r1r2_fastp	355580.0	0.0	0.0	8154.0
COPE-0748.r1r2_fastp	8415594.0	0.0	0.0	155466.0
COPE-0749.r1r2_fastp	10441434.0	0.0	0.0	200680.0
COPE-0750.r1r2_fastp	2867164.0	0.0	0.0	51378.0
COPE-0751.r1r2_fastp	1343546.0	0.0	0.0	55288.0
COPE-0752.r1r2_fastp	4975872.0	0.0	0.0	101856.0
COPE-0753.r1r2_fastp	5212788.0	0.0	0.0	87784.0
COPE-0754.r1r2_fastp	7934768.0	0.0	0.0	164014.0
COPE-0755.r1r2_fastp	13420654.0	0.0	0.0	262596.0
COPE-0756.r1r2_fastp	4963300.0	0.0	0.0	84030.0
COPE-0757.r1r2_fastp	2743502.0	0.0	0.0	48716.0
COPE-0758.r1r2_fastp	8384342.0	0.0	0.0	148198.0
COPE-0759.r1r2_fastp	4320226.0	0.0	0.0	76792.0
COPE-0760.r1r2_fastp	900322.0	0.0	0.0	51712.0
COPE-0761.r1r2_fastp	405434.0	0.0	0.0	5624.0
COPE-0762.r1r2_fastp	3719394.0	0.0	0.0	69316.0
COPE-0763.r1r2_fastp	9351686.0	0.0	0.0	482512.0
COPE-0764.r1r2_fastp	635870.0	0.0	0.0	9538.0
COPE-0765.r1r2_fastp	9851580.0	0.0	0.0	200562.0
COPE-0766.r1r2_fastp	2399990.0	0.0	0.0	44798.0
COPE-0767.r1r2_fastp	4174808.0	0.0	0.0	71912.0
COPE-0768.r1r2_fastp	5002494.0	0.0	0.0	97994.0
COPE-0769.r1r2_fastp	3046256.0	0.0	0.0	136980.0
COPE-0770.r1r2_fastp	4523574.0	0.0	0.0	87314.0
COPE-0771.r1r2_fastp	3712854.0	0.0	0.0	63834.0
COPE-0772.r1r2_fastp	11808708.0	0.0	0.0	207648.0
COPE-0773.r1r2_fastp	4103080.0	0.0	0.0	75530.0
COPE-0774.r1r2_fastp	257520.0	0.0	0.0	11526.0
COPE-0775.r1r2_fastp	2497104.0	0.0	0.0	137912.0
COPE-0776.r1r2_fastp	1194808.0	0.0	0.0	255684.0
COPE-0777.r1r2_fastp	25654.0	0.0	0.0	8112.0
COPE-0778.r1r2_fastp	3306426.0	0.0	0.0	77970.0
COPE-0779.r1r2_fastp	31274.0	0.0	0.0	638.0
COPE-0780.r1r2_fastp	619918.0	0.0	0.0	58084.0
COPE-0781.r1r2_fastp	479160.0	0.0	0.0	8866.0
COPE-0782.r1r2_fastp	18380386.0	0.0	0.0	352654.0
COPE-0783.r1r2_fastp	502648.0	0.0	0.0	9358.0
COPE-0784.r1r2_fastp	2307646.0	0.0	0.0	87628.0
COPE-0785.r1r2_fastp	7910240.0	0.0	0.0	132166.0
COPE-0786.r1r2_fastp	779808.0	0.0	0.0	40482.0
COPE-0787.r1r2_fastp	533952.0	0.0	0.0	9640.0
COPE-0788.r1r2_fastp	19363328.0	0.0	0.0	323784.0
COPE-0789.r1r2_fastp	5388642.0	0.0	0.0	113130.0
COPE-0790.r1r2_fastp	3645292.0	0.0	0.0	70028.0
COPE-0791.r1r2_fastp	9589930.0	0.0	0.0	214740.0
COPE-0792.r1r2_fastp	239658.0	0.0	0.0	4950.0
COPE-0793.r1r2_fastp	646916.0	0.0	0.0	13600.0
COPE-0794.r1r2_fastp	1511842.0	0.0	0.0	31926.0
COPE-0795.r1r2_fastp	1381626.0	0.0	0.0	25084.0
COPE-0796.r1r2_fastp	9051066.0	0.0	0.0	195400.0
COPE-0797.r1r2_fastp	3978810.0	0.0	0.0	76650.0
COPE-0798.r1r2_fastp	2031332.0	0.0	0.0	42888.0
COPE-0799.r1r2_fastp	18132640.0	0.0	0.0	346974.0
COPE-0800.r1r2_fastp	5211836.0	0.0	0.0	87606.0
COPE-0801.r1r2_fastp	23558364.0	0.0	0.0	473866.0
COPE-0802.r1r2_fastp	109182.0	0.0	0.0	7486.0
COPE-0803.r1r2_fastp	3352362.0	0.0	0.0	85460.0
COPE-0804.r1r2_fastp	217260.0	0.0	0.0	7350.0
COPE-0805.r1r2_fastp	5203568.0	0.0	0.0	97948.0
COPE-0806.r1r2_fastp	466616.0	0.0	0.0	9338.0
COPE-0807.r1r2_fastp	408258.0	0.0	0.0	6334.0
COPE-0808.r1r2_fastp	3607662.0	0.0	0.0	77022.0
COPE-0809.r1r2_fastp	3969458.0	0.0	0.0	86596.0
COPE-0810.r1r2_fastp	301492.0	0.0	0.0	6036.0
COPE-0811.r1r2_fastp	648918.0	0.0	0.0	35030.0
COPE-0812.r1r2_fastp	3025380.0	0.0	0.0	58926.0
COPE-0813.r1r2_fastp	3518994.0	0.0	0.0	58756.0
COPE-0814.r1r2_fastp	6876488.0	0.0	0.0	93098.0
COPE-0815.r1r2_fastp	1368022.0	0.0	0.0	77080.0
COPE-0816.r1r2_fastp	2402464.0	0.0	0.0	76458.0
COPE-0817.r1r2_fastp	636896.0	0.0	0.0	15886.0
COPE-0818.r1r2_fastp	10837420.0	0.0	0.0	245310.0
COPE-0819.r1r2_fastp	3595056.0	0.0	0.0	62058.0
COPE-0820.r1r2_fastp	659550.0	0.0	0.0	12234.0
COPE-0821.r1r2_fastp	3700582.0	0.0	0.0	173798.0
COPE-0822.r1r2_fastp	8832246.0	0.0	0.0	331478.0
COPE-0823.r1r2_fastp	2080462.0	0.0	0.0	33154.0
COPE-0824.r1r2_fastp	1295342.0	0.0	0.0	63664.0
COPE-0825.r1r2_fastp	286152.0	0.0	0.0	5576.0
COPE-0826.r1r2_fastp	9930206.0	0.0	0.0	172376.0
COPE-0827.r1r2_fastp	36162.0	0.0	0.0	1402.0
COPE-0828.r1r2_fastp	602652.0	0.0	0.0	15114.0
COPE-0829.r1r2_fastp	553744.0	0.0	0.0	8998.0
COPE-0830.r1r2_fastp	2310406.0	0.0	0.0	34472.0
COPE-0831.r1r2_fastp	25341648.0	0.0	0.0	492826.0
COPE-0832.r1r2_fastp	116734.0	0.0	0.0	1882.0
COPE-0833.r1r2_fastp	20658124.0	0.0	0.0	396456.0
COPE-0834.r1r2_fastp	820984.0	0.0	0.0	11828.0
COPE-0835.r1r2_fastp	416284.0	0.0	0.0	8512.0
COPE-0836.r1r2_fastp	6227570.0	0.0	0.0	290442.0
COPE-0837.r1r2_fastp	3451228.0	0.0	0.0	70332.0
COPE-0838.r1r2_fastp	121888.0	0.0	0.0	3060.0
COPE-0839.r1r2_fastp	35992.0	0.0	0.0	908.0
COPE-0840.r1r2_fastp	5191528.0	0.0	0.0	95882.0
COPE-0841.r1r2_fastp	7364236.0	0.0	0.0	122672.0
COPE-0842.r1r2_fastp	4169418.0	0.0	0.0	285420.0
COPE-0843.r1r2_fastp	1411224.0	0.0	0.0	79626.0
COPE-0844.r1r2_fastp	9050.0	0.0	0.0	172.0
COPE-0845.r1r2_fastp	358336.0	0.0	0.0	6690.0
COPE-0846.r1r2_fastp	11160916.0	0.0	0.0	240694.0
COPE-0847.r1r2_fastp	321520.0	0.0	0.0	14552.0
COPE-0848.r1r2_fastp	7461472.0	0.0	0.0	303660.0
COPE-0849.r1r2_fastp	6502400.0	0.0	0.0	132346.0
COPE-0850.r1r2_fastp	1041850.0	0.0	0.0	128038.0
COPE-0851.r1r2_fastp	8274478.0	0.0	0.0	156272.0
