Indiv,Z,pure_a,pure_b,F1,F2,a_bx,b_bx
COPE_0769.fp2.repr,NA,0,1,0,0,0,0
COPE_0770.fp2.repr,z1,0,1,0,0,0,0
COPE_0771.fp2.repr,z1,0,1,0,0,0,0
COPE_0772.fp2.repr,NA,0,1,0,0,0,0
COPE_0773.fp2.repr,z1,0,1,0,0,0,0
COPE_0774.fp2.repr,z1,0,1,0,0,0,0
COPE_0775.fp2.repr,z1,0,1,0,0,0,0
COPE_0776.fp2.repr,z0,1,0,0,0,0,0
COPE_0777.fp2.repr,NA,NA,NA,NA,NA,NA,NA
COPE_0778.fp2.repr,NA,0,1,0,0,0,0
COPE_0779.fp2.repr,z1,0,1,0,0,0,0
COPE_0780.fp2.repr,z0,1,0,0,0,0,0
COPE_0781.fp2.repr,NA,0,1,0,0,0,0
COPE_0782.fp2.repr,z1,0,1,0,0,0,0
COPE_0783.fp2.repr,z1,0,1,0,0,0,0
COPE_0784.fp2.repr,z1,0,1,0,0,0,0
COPE_0785.fp2.repr,NA,0,1,0,0,0,0
COPE_0786.fp2.repr,z1,0,1,0,0,0,0
COPE_0787.fp2.repr,z1,0,1,0,0,0,0
COPE_0788.fp2.repr,z1,0,1,0,0,0,0
COPE_0789.fp2.repr,z1,0,1,0,0,0,0
COPE_0790.fp2.repr,z1,0,1,0,0,0,0
COPE_0791.fp2.repr,z1,0,1,0,0,0,0
COPE_0792.fp2.repr,z1,0,1,0,0,0,0
COPE_0793.fp2.repr,z1,0,1,0,0,0,0
COPE_0794.fp2.repr,z1,0,1,0,0,0,0
COPE_0795.fp2.repr,z1,0,1,0,0,0,0
COPE_0796.fp2.repr,NA,0,0.871202,0,0,0,0.128798
COPE_0797.fp2.repr,z1,0,1,0,0,0,0
COPE_0798.fp2.repr,z1,0,1,0,0,0,0
COPE_0799.fp2.repr,z1,0,1,0,0,0,0
COPE_0800.fp2.repr,NA,0,1,0,0,0,0
COPE_0801.fp2.repr,NA,0,1,0,0,0,0
COPE_0802.fp2.repr,z1,0,1,0,0,0,0
COPE_0803.fp2.repr,z1,0,1,0,0,0,0
COPE_0804.fp2.repr,NA,0,1,0,0,0,0
COPE_0805.fp2.repr,z1,0,1,0,0,0,0
COPE_0806.fp2.repr,NA,0,1,0,0,0,0
COPE_0807.fp2.repr,z1,0,1,0,0,0,0
COPE_0808.fp2.repr,z1,0,1,0,0,0,0
COPE_0809.fp2.repr,z1,0,1,0,0,0,0
COPE_0810.fp2.repr,z1,0,1,0,0,0,0
COPE_0811.fp2.repr,z1,0,1,0,0,0,0
COPE_0812.fp2.repr,z1,0,1,0,0,0,0
COPE_0813.fp2.repr,z1,0,1,0,0,0,0
COPE_0814.fp2.repr,z1,0,1,0,0,0,0
COPE_0815.fp2.repr,NA,0,1,0,0,0,0
COPE_0816.fp2.repr,z1,0,1,0,0,0,0
COPE_0817.fp2.repr,z1,0,1,0,0,0,0
COPE_0818.fp2.repr,z1,0,1,0,0,0,0
COPE_0819.fp2.repr,z1,0,1,0,0,0,0
COPE_0820.fp2.repr,z1,0,1,0,0,0,0
COPE_0821.fp2.repr,NA,0,0,1,0,0,0
COPE_0822.fp2.repr,z1,0,1,0,0,0,0
COPE_0823.fp2.repr,z1,0,1,0,0,0,0
COPE_0824.fp2.repr,NA,0,0,0,0,0,1
COPE_0825.fp2.repr,NA,0,1,0,0,0,0
COPE_0826.fp2.repr,z1,0,1,0,0,0,0
COPE_0827.fp2.repr,z1,0,1,0,0,0,0
COPE_0828.fp2.repr,NA,0,0,0,0,0,1
COPE_0829.fp2.repr,z1,0,1,0,0,0,0
COPE_0830.fp2.repr,z1,0,1,0,0,0,0
COPE_0831.fp2.repr,z1,0,1,0,0,0,0
COPE_0832.fp2.repr,z1,0,1,0,0,0,0
COPE_0833.fp2.repr,z1,0,1,0,0,0,0
COPE_0834.fp2.repr,z1,0,1,0,0,0,0
COPE_0835.fp2.repr,z1,0,1,0,0,0,0
COPE_0836.fp2.repr,z0,1,0,0,0,0,0
COPE_0837.fp2.repr,z1,0,1,0,0,0,0
COPE_0838.fp2.repr,z1,0,1,0,0,0,0
COPE_0839.fp2.repr,z1,0,0.99983,0,0,0,1.7e-4
COPE_0840.fp2.repr,NA,0,1,0,0,0,0
COPE_0841.fp2.repr,z1,0,1,0,0,0,0
COPE_0842.fp2.repr,z0,1,0,0,0,0,0
COPE_0843.fp2.repr,z0,1,0,0,0,0,0
COPE_0845.fp2.repr,z1,0,1,0,0,0,0
COPE_0846.fp2.repr,z1,0,1,0,0,0,0
COPE_0847.fp2.repr,NA,0,1,0,0,0,0
COPE_0848.fp2.repr,NA,0,1,0,0,0,0
COPE_0849.fp2.repr,z1,0,1,0,0,0,0
COPE_0850.fp2.repr,z0,1,0,0,0,0,0
COPE_0851.fp2.repr,z1,0,1,0,0,0,0
COPE_0852.fp2.repr,z1,0,1,0,0,0,0
COPE_0853.fp2.repr,z1,0,1,0,0,0,0
COPE_0854.fp2.repr,NA,0,1,0,0,0,0
COPE_0855.fp2.repr,z1,0,1,0,0,0,0
COPE_0856.fp2.repr,NA,1,0,0,0,0,0
COPE_0857.fp2.repr,z1,0,1,0,0,0,0
COPE_0858.fp2.repr,z1,0,0.9997900020999789,0,9.99990000099999e-6,0,1.999980000199998e-4
COPE_0859.fp2.repr,z0,1,0,0,0,0,0
COPE_0860.fp2.repr,z0,1,0,0,0,0,0
COPE_0861.fp2.repr,NA,0,1,0,0,0,0
COPE_0862.fp2.repr,z1,0,1,0,0,0,0
COPE_0863.fp2.repr,z1,0,1,0,0,0,0
COPE_0864.fp2.repr,NA,1,0,0,0,0,0
COPE_0865.fp2.repr,z1,0,1,0,0,0,0
COPE_0866.fp2.repr,z1,0,1,0,0,0,0
COPE_0867.fp2.repr,z1,0,1,0,0,0,0
COPE_0868.fp2.repr,z1,0,1,0,0,0,0
COPE_0869.fp2.repr,z0,1,0,0,0,0,0
COPE_0870.fp2.repr,NA,0,1,0,0,0,0
COPE_0871.fp2.repr,z1,0,1,0,0,0,0
COPE_0872.fp2.repr,z1,0,1,0,0,0,0
COPE_0873.fp2.repr,z1,0,1,0,0,0,0
COPE_0874.fp2.repr,NA,0,1,0,0,0,0
COPE_0875.fp2.repr,NA,0,1,0,0,0,0
COPE_0876.fp2.repr,z1,0,1,0,0,0,0
COPE_0877.fp2.repr,z1,0,1,0,0,0,0
COPE_0878.fp2.repr,z1,0,1,0,0,0,0
COPE_0879.fp2.repr,z1,0,1,0,0,0,0
COPE_0880.fp2.repr,NA,0,0.9996,0,0,0,4e-4
COPE_0882.fp2.repr,z1,0,1,0,0,0,0
COPE_0883.fp2.repr,z1,0,1,0,0,0,0
COPE_0884.fp2.repr,z1,0,0.99996,0,0,0,4e-5
COPE_0885.fp2.repr,z1,0,1,0,0,0,0
COPE_0886.fp2.repr,z1,0,1,0,0,0,0
COPE_0887.fp2.repr,z1,0,1,0,0,0,0
COPE_0888.fp2.repr,z1,0,1,0,0,0,0
COPE_0889.fp2.repr,NA,0,1,0,0,0,0
COPE_0890.fp2.repr,z1,0,1,0,0,0,0
COPE_0891.fp2.repr,z1,0,1,0,0,0,0
COPE_0892.fp2.repr,z1,0,1,0,0,0,0
COPE_0893.fp2.repr,z1,0,1,0,0,0,0
COPE_0894.fp2.repr,z0,1,0,0,0,0,0
COPE_0895.fp2.repr,z1,0,1,0,0,0,0
COPE_0896.fp2.repr,z1,0,1,0,0,0,0
COPE_0897.fp2.repr,z1,0,1,0,0,0,0
COPE_0898.fp2.repr,NA,0,1,0,0,0,0
COPE_0899.fp2.repr,NA,0,1,0,0,0,0
COPE_0900.fp2.repr,z1,0,1,0,0,0,0
COPE_0901.fp2.repr,z1,0,1,0,0,0,0
COPE_0902.fp2.repr,z1,0,1,0,0,0,0
COPE_0903.fp2.repr,z1,0,1,0,0,0,0
COPE_0904.fp2.repr,z1,0,1,0,0,0,0
COPE_0905.fp2.repr,z1,0,1,0,0,0,0
COPE_0906.fp2.repr,z1,0,1,0,0,0,0
